Issue_ID,Date,Role_Type,Location_Block,Location_Room,Equipment,User_Complaint_Text,Actual_Diagnosed_Problem,Fix_Action_Taken,Time_Taken_Hours,Cost_INR,Parts_Replaced,Urgency_Level,Status
LPU-MAINT-2022-0078,2022-12-05,Lab_Technician,Block-26,Lab-26-204,Lab Power Distribution Unit,"Lab 26-204 workbench row 3 power sockets dead, students unable to plug in laptops",Blown 16A single pole MCB caused by shorted multi-plug adapter used by student,Replaced burnt 16A C-curve MCB and replaced charred modular 16A socket outlet,1.5,950,16A MCB & Modular Socket,Medium,Resolved
LPU-MAINT-2022-0079,2022-12-08,Student,BH-4,B-208,Geyser (Bajaj 15L),"Geyser is not heating water at all in morning, red indicator light is not turning on",Secondary safety thermal cutout tripped permanently due to stuck main thermostat switch,Replaced capillary thermostat unit and secondary thermal cutoff; tested element continuity,2.0,1100,Capillary Thermostat & Thermal Cutout,High,Resolved
LPU-MAINT-2022-0080,2022-12-12,Student,GH-4,A-110,Geyser (Racold 25L),"Geyser water is not heating, power lamp glowing on switchboard",Heating element burned open circuit due to dry run condition,Replaced 2kW tubular copper heating element and rubber sealing ring,2.0,1400,Racold 2kW Heating Element,High,Resolved
LPU-MAINT-2022-0081,2022-12-14,Student,BH-5,C-408,Geyser (Bajaj 15L),"Geyser power light turns on but water stays cold, no heating happening",Heating element burned out (open circuit infinite resistance measured on multimeter),Replaced 2kW Bajaj tubular heating element and silicone sealing gasket,2.0,1400,Bajaj 2kW Heating Element,High,Resolved
LPU-MAINT-2022-0082,2022-12-18,Student,GH-2,D-408,Geyser (Racold 25L),Geyser water is boiling hot with excessive steam pressure escaping tap,"Stem thermostat stuck closed, safety relief valve dripping water under high steam pressure",Replaced stem thermostat regulator and replaced 6-bar multi-function safety valve,2.0,1450,Stem Thermostat & Safety Valve,Critical,Resolved
LPU-MAINT-2022-0083,2022-12-22,Student,BH-2,A-112,Geyser (Bajaj 15L),"Geyser water is not heating, green lamp glowing but no heating",Heating coil element open circuit due to internal burnout,"Replaced 2000W copper heating element, replaced anode rod, descaled bottom",2.0,1350,Bajaj Heating Element 2kW,High,Resolved
LPU-MAINT-2023-0001,2023-01-08,Student,BH-2,D-401,Geyser (Racold 25L),"Water leaking from top inlet braided pipe of geyser, spraying on bathroom wall",EPDM rubber core inside braided stainless steel flexible hose ruptured under pressure,Replaced pair of 1/2 inch stainless steel braided connection pipes,1.0,550,SS Braided Hose Pair 1/2 inch,High,Resolved
LPU-MAINT-2023-0002,2023-01-10,Warden,BH-5,Mess-1 Entrance,Biometric Scanner (Mantra MFS100),"Mess punch machine not connecting to PC, showing device not recognized error",Damaged internal micro-USB connector solder pads on scanner mainboard,"Resoldered USB connector pins on PCB with lead-free solder, tested device handshake",1.5,600,None,Medium,Resolved
LPU-MAINT-2023-0003,2023-01-14,Student,BH-4,C-310,Geyser (Racold 25L),Water temperature is barely warm even after leaving geyser on for 1 hour in freezing cold,"Thermostat calibration drifted downwards, cutting power off at 32C instead of set 65C",Replaced thermostat unit with genuine Racold stem regulator and checked wiring terminals,1.0,850,Bimetallic Stem Thermostat,High,Resolved
LPU-MAINT-2023-0004,2023-01-15,Student,GH-2,A-202,Geyser (Bajaj 15L),"No hot water coming from geyser, indicator lamp does not light up",Heating coil element open circuit due to burnout of resistance wire,Replaced 2000W heating element assembly and rubber tank gasket,2.0,1300,Bajaj 2000W Heating Element,High,Resolved
LPU-MAINT-2023-0005,2023-01-18,Faculty,Block-32,Room-32-301,"Smartboard (Promethean ActivPanel 75"")","Smartboard touch calibration completely offset, touches registering 4 inches to the left",Corrupted EEPROM calibration configuration data on optical touch controller,"Restored factory calibration profile via USB service port, performed 16-point geometric alignment",1.5,1200,None,Medium,Resolved
LPU-MAINT-2023-0006,2023-01-20,Student,BH-5,A-108,Geyser (Racold 25L),"Water leaking from bottom plastic cover of geyser, dripping over electrical socket",Corroded flange gasket ring causing pressurized water seepage into electrical chamber,Replaced rubber flange gasket and tightened tank flange bolts to uniform torque,2.0,650,Flange Gasket & Fasteners,Critical,Resolved
LPU-MAINT-2023-0007,2023-01-22,Student,GH-1,C-308,Geyser (Bajaj 15L),Geyser body giving minor electric shock when touching tap with wet hands,Mineral crust cracked sheath of heating element causing 15mA earth leakage current,"Replaced 2kW nickel-plated copper element, restored earth wiring to geyser body",2.5,1450,Bajaj 2kW Heating Element,Critical,Resolved
LPU-MAINT-2023-0008,2023-01-25,Student,GH-4,C-302,Geyser (Bajaj 15L),"Water coming out of geyser is lukewarm only, takes 1 hour to heat",Heavy limescale layer coating element reducing thermal conductivity,"Acid descaled geyser inner tank, installed new sacrificial anode rod",2.0,1250,Magnesium Sacrificial Anode,Medium,Resolved
LPU-MAINT-2023-0009,2023-01-28,Warden,Uni-Hospital,Power House-1,Generator (Kirloskar 125kVA),Routine maintenance check: DG set output voltage dropping to 370V when hospital chiller load connects,Automatic Voltage Regulator (AVR) board sensing circuit potentiometer corroded causing poor voltage regulation,"Installed new Stamford SX460 AVR module, calibrated no-load voltage to 415V 3-phase and frequency to 50.2 Hz",4.5,18500,Stamford SX460 AVR Module,Critical,Resolved
LPU-MAINT-2023-0010,2023-02-12,Faculty,Block-38,Department Entry,Biometric Scanner (Suprema BioEntry W2),"Biometric reader buzzer sounding continuous beep, touch keypad unresponsive",Capacitive keypad touch controller IC locked up due to static electricity discharge,Replaced capacitive keypad sensor PCB and installed ESD grounding contact to door frame,1.5,1600,Keypad PCB & ESD Grounding Strap,Medium,Resolved
LPU-MAINT-2023-0011,2023-02-14,Warden,GH-2,Hostel Reception,Biometric Scanner (Mantra MFS100),Biometric attendance scanner device not recognized by hostel desktop PC,Corroded USB cable pins inside molded plastic connector,Replaced molded USB connection cable and tested student biometric capture,1.0,450,Mantra USB Connection Cable,Medium,Resolved
LPU-MAINT-2023-0012,2023-02-17,Faculty,Block-32,Lab-32-101,Projector (Epson EB-X51),"Projection is extremely dim and colors looking washed out, students on back benches cannot see code",Lamp lumen depreciation exceeding 70% after 2900 runtime hours; optical polarizer fogged with fine dust,"Installed new OEM projector bulb, cleaned optical lenses with isopropyl alcohol, and replaced dust filter",2.0,5600,Epson Projector Lamp & Sponge Filter,Medium,Resolved
LPU-MAINT-2023-0013,2023-02-19,Warden,BH-3,Hostel Entrance Turnstile,Biometric Scanner (Suprema BioEntry W2),Turnstile scanner RFID card reader not scanning student smart ID cards,13.56 MHz RFID antenna coil soldered connection cracked inside front enclosure,Replaced RFID antenna board and verified card read range at 5cm,1.5,1450,RFID Antenna Module,High,Resolved
LPU-MAINT-2023-0014,2023-02-28,Lab_Technician,Block-25,Server Rack-25,Network Switch (Cisco Catalyst 2960),"Cisco switch port 12 to 24 went completely dark, entire lab network unreachable",Internal auxiliary 12V SMPS supply rails failed due to bulging filter capacitors,Swapped modular power supply unit (PWR-C2-250WAC) and verified Gigabit port links,3.0,5600,Cisco Redundant Power Supply Module,Critical,Resolved
LPU-MAINT-2023-0015,2023-03-08,Lab_Technician,Block-33,Lab-33-104,Lab Power Distribution Unit,Power sockets on workbench row 4 sparking when plugging in desktop monitors,Worn spring tension contacts inside modular 3-pin universal electrical sockets,Replaced 8x modular 6A/16A universal socket units and tested earth loop impedance,2.0,1650,Modular Socket Units (8-pack),High,Resolved
LPU-MAINT-2023-0016,2023-03-11,Student,GH-2,Lift-1 (Main Wing),KONE Elevator (Model MonoSpace 500),"Door refuses to close on 3rd floor, red sensor light flashing on door edge",Dry solder joint on door interlock optical interface card (EDC board) causing intermittent false obstacle detection,"Resoldered optical interface board terminals, adjusted door motor torque limiter, and cleared error logs",3.0,4200,Door Interface Circuit Board,High,Resolved
LPU-MAINT-2023-0017,2023-03-15,Faculty,Block-34,Staff Room-34,Biometric Scanner (Mantra MFS100),Biometric device USB cable frayed and device disconnecting when touched,Molded USB cable damaged right at the strain relief joint from repeated movement,Installed new heavy-duty braided USB cable and anchored cable strain relief bracket,1.0,450,Braided USB Cable,Medium,Resolved
LPU-MAINT-2023-0018,2023-03-16,Student,BH-5,3rd Floor Wing-C,RO Water Purifier (Kent Grand),Purifier constantly leaking pure water from bottom enclosure onto corridor floor,Cracked high-pressure membrane housing cap under 80 PSI booster pump pressure,Replaced RO membrane housing assembly and 1/4 inch food-grade push-fit fittings,2.0,1600,RO Membrane Housing & Push Fittings,Medium,Resolved
LPU-MAINT-2023-0019,2023-03-20,Warden,GH-3,Turnstile Entry Gate,Biometric Scanner (Suprema BioEntry W2),Turnstile gate not releasing lock after successful student fingerprint scan,12V door strike relay coil on access controller card burnt out,Replaced 12V 10A SPDT interface relay on access control board,1.5,950,12V Interface Relay,High,Resolved
LPU-MAINT-2023-0020,2023-03-22,Faculty,Block-26,Lift-1 (Main),Otis Elevator (Gen2),Lift car fan vibrating heavily and emergency alarm button sticky,Car ventilation blower motor squirrel-cage impeller out of dynamic balance,Replaced cross-flow blower impeller assembly and serviced emergency alarm switch,2.5,3600,Cross-flow Impeller & Alarm Switch,Medium,Resolved
LPU-MAINT-2023-0021,2023-03-24,Warden,BH-1,Main Gate,CCTV System (Hikvision DS-2CD),Gate camera image completely white washed out during sunny daytime,"Electronic auto-iris motor stuck open, unable to adjust aperture to bright sunlight",Replaced camera vari-focal lens module and recalibrated exposure settings,2.0,2200,Vari-focal Lens Module,Medium,Resolved
LPU-MAINT-2023-0022,2023-04-06,Warden,GH-1,Hostel Turnstile Gate,Biometric Scanner (Suprema BioEntry W2),Fingerprint sensor failing to authenticate students with dry or cold fingers,Sensor image capture brightness and LED illumination levels degraded,"Cleaned sensor window with lint-free optical swab, updated biometric firmware",1.0,350,None,Medium,Resolved
LPU-MAINT-2023-0023,2023-04-08,Warden,BH-4,1st Floor Wing-A,RO Water Purifier (Aquaguard Enhance),"RO water purifier tap broken by students, water leaking on floor",Dispensing tap stem snapped inside front housing thread,Replaced dispensing tap assembly and sanitized cold water storage tank,1.0,700,Aquaguard Dispensing Tap,Medium,Resolved
LPU-MAINT-2023-0024,2023-04-10,Faculty,Uni-Hospital,Emergency-1,UPS System (APC Smart-UPS 3000VA),Emergency room lights and patient monitors blinked during brief utility power switchover,"Static bypass transfer switch relay contacts oxidized, causing transfer delay of 28ms exceeding ITIC curve","Replaced static bypass switch relay PCB, performed oscilloscope transfer time test (measured 3.8ms)",3.0,7200,Static Bypass Switch Relay Board,Critical,Resolved
LPU-MAINT-2023-0025,2023-04-12,Warden,BH-3,Lift-1 (Main),KONE Elevator (Model MonoSpace 500),"Lift emergency car fan not operating during power cut, students feeling suffocated",12V DC auxiliary ventilation blower motor burned out due to bearing seizure,Replaced 12V cross-flow car blower motor and emergency ventilation relay,2.5,3800,12V Car Ventilation Blower,Critical,Resolved
LPU-MAINT-2023-0026,2023-04-14,Student,BH-5,B-204,Split AC (Voltas 1.5T),AC humming loudly and tripping the room MCB switch after 3 minutes,"Run capacitor swollen due to voltage surge, compressor tripping on thermal overload","Replaced run capacitor with heavy-duty 45+5uF metal can capacitor, checked voltage stabilizer",2.5,2100,45+5uF Metal Can Capacitor,High,Resolved
LPU-MAINT-2023-0027,2023-04-14,Warden,GH-2,1st Floor Wing-A,RO Water Purifier (Kent Grand),Purifier pure water output has bad taste and TDS is 380 ppm,RO membrane fouled with colloidal silica and carbon filter exhausted,Installed new 75 GPD RO membrane cartridge and replaced post-carbon filter,2.0,2200,75 GPD RO Membrane & Carbon Filter,High,Resolved
LPU-MAINT-2023-0028,2023-04-15,Student,Block-32,Lift-2 (CSE Wing),KONE Elevator (Model MonoSpace 500),"Lift buttons for 2nd and 4th floor not lighting up when pressed, students missing stops",Car operating panel serial bus controller card loose ribbon connector,"Re-seated and locked flat ribbon cable connector, replaced 2 illuminated microswitch caps",1.5,2600,Illuminated Push Button Caps,Medium,Resolved
LPU-MAINT-2023-0029,2023-04-18,Warden,BH-1,1st Floor Corridor,RO Water Purifier (Kent Grand),"RO purifier pure water output is very slow, drip by drip only",Pre-filter cartridge choked with clay silt; inlet water pressure dropped below 5 PSI,Replaced 10-inch spun polypropylene pre-filter cartridge and flushed inlet housing,1.0,650,10-inch Spun Pre-Filter,Medium,Resolved
LPU-MAINT-2023-0030,2023-04-20,Student,BH-5,2nd Floor Wing-B,Water Cooler (Voltas Minimagic),Water is lukewarm and machine body is getting very hot on side grill,Condenser fan motor seized resulting in compressor thermal cutout tripping,"Installed new condenser fan motor, lubricated fan bearings, and refitted protective mesh",3.5,2400,Condenser Fan Motor,Medium,Resolved
LPU-MAINT-2023-0031,2023-04-25,Student,BH-2,B-215,Split AC (Daikin 1.5T),"Daikin AC remote display blinking green light, error code U0 shown",Refrigerant shortage due to loose service valve cap seal ring; pressure at 70 PSI,"Replaced neoprene valve cap O-rings, vacuumed line, charged 550g R32 refrigerant",3.0,2850,R32 Refrigerant Gas & Seal O-ring,High,Resolved
LPU-MAINT-2023-0032,2023-05-02,Student,BH-1,D-201,Split AC (Blue Star 1.5T),"AC cooling is dropping gradually since 4 days, ice visible on outdoor brass valves",Micro-leak from service schrader core pin valve inside 3-way service valve port,"Replaced schrader valve core using core removal tool under pressure, topped up 200g R32 gas",2.0,1800,Schrader Valve Core & R32 Top-up,Medium,Resolved
LPU-MAINT-2023-0033,2023-05-04,Warden,GH-3,1st Floor Corridor,RO Water Purifier (Aquaguard Enhance),RO water purifier tank filling very slowly and rejected water line dry,"Inlet solenoid valve coil open circuit, preventing feed water from entering RO membrane",Replaced 24V DC inlet solenoid valve and tested flow rate,1.5,1250,24V DC Solenoid Valve,High,Resolved
LPU-MAINT-2023-0034,2023-05-10,Lab_Technician,Block-32,Lab-32-204,Lab Power Distribution Unit,Entire left row of computers in Lab 204 powered down during practical exam,Faulty 32A residual current circuit breaker (RCCB) tripping due to cumulative leakage current,Replaced 32A 30mA RCCB with 300mA industrial type RCCB and rebalanced computer phase loads,2.5,3400,Havells 32A 4P RCCB,Critical,Resolved
LPU-MAINT-2023-0035,2023-05-12,Warden,BH-3,1st Floor Corridor,RO Water Purifier (Kent Grand),"Purifier water has TDS of 420 ppm (input is 550 ppm), RO membrane failing",Thin film composite (TFC) RO membrane fouled and perforated by chlorine degradation,Installed new 75 GPD Dow Filmtec RO membrane and replaced inline sediment filter,2.0,2100,75 GPD RO Membrane & Pre-Filter,High,Resolved
LPU-MAINT-2023-0036,2023-05-14,Student,BH-2,A-108,Split AC (Voltas 1.5T),AC fan making grinding metallic noise and room cooling is very slow,Indoor fan motor ball bearing worn with excessive radial play (bearing 608ZZ pitted),Replaced indoor fan motor assembly and vibration dampening rubber grommets,3.5,2750,Indoor Fan Motor 28W,High,Resolved
LPU-MAINT-2023-0037,2023-05-16,Warden,GH-4,1st Floor Corridor,RO Water Purifier (Kent Grand),"Water purifier TDS reading 450 ppm, water tasting alkaline and salty",RO membrane deteriorated due to hard water scaling fouling,Replaced 75 GPD thin-film RO membrane and inline sediment pre-filter,2.0,2200,75 GPD RO Membrane & Pre-Filter,High,Resolved
LPU-MAINT-2023-0038,2023-05-18,Student,BH-5,D-405,Split AC (Blue Star 1.5T),Water leaking from indoor unit inside room on wall and study table,Condensate drain pipe disconnected at evaporator spud behind plastic housing,"Re-attached drain hose with hose clamp, insulated indoor pipe connection, tested drain flow",1.5,750,Drain Clamp & Insulation Tape,High,Resolved
LPU-MAINT-2023-0039,2023-05-19,Student,BH-5,Mess-1,Water Cooler (Blue Star),Water cooler not cooling and vibrating very loudly in mess area,Compressor mounting grommets perished causing vibration; low suction pressure detected,"Replaced rubber vibration dampers, topped up R134a refrigerant (250g), sealed service valve",4.0,3100,Anti-vibration Mounts and R134a Refrigerant,High,Resolved
LPU-MAINT-2023-0040,2023-05-22,Student,BH-4,C-304,Split AC (Blue Star 1.5T),"AC indoor unit blowing mist and small ice chips, room not cooling properly",Partially blocked expansion capillary tube causing evaporator coil freezing,"Flushed refrigeration system with R141b cleaning solvent, replaced copper filter drier",4.0,3400,Copper Filter Drier & Solvent Flush,High,Resolved
LPU-MAINT-2023-0041,2023-05-28,Student,GH-2,B-210,Split AC (Daikin 1.5T),"Daikin AC remote control not turning unit on, indoor receiver not beeping",Infrared receiver eye board on indoor display panel corroded by humidity,Replaced display receiver PCB module and tested with handheld remote,1.5,1650,Daikin Display Receiver PCB,Medium,Resolved
LPU-MAINT-2023-0042,2023-05-30,Warden,BH-2,2nd Floor Corridor,RO Water Purifier (Kent Grand),RO water purifier making loud vibrating noise while filling tank,"Booster pump internal diaphragm worn and bearings dry, causing severe hydraulic pulsation",Replaced 100 GPD DC booster pump and rubber dampener mounting brackets,2.0,2200,100 GPD RO Booster Pump,Medium,Resolved
LPU-MAINT-2023-0043,2023-06-05,Lab_Technician,Block-38,Server Room-1,Split AC (Daikin 1.5T),"Emergency: Server room AC compressor cutting out repeatedly, temperature alarm triggered",High condensing pressure due to extreme ambient heat (44C) and choked microchannel fins,"Deep chemical coil cleaning of outdoor condenser, straightened bent aluminum fins with fin comb",3.0,2100,Coil Cleaner Chemical,Critical,Resolved
LPU-MAINT-2023-0044,2023-06-10,Student,GH-3,B-214,Split AC (Blue Star 1.5T),"AC outdoor unit making grinding noise, cooling stopped completely",Outdoor condenser fan motor bearing seized due to dust contamination,Replaced outdoor condenser fan motor and balanced aerofoil fan blade,3.0,2600,Outdoor Condenser Fan Motor,High,Resolved
LPU-MAINT-2023-0045,2023-06-12,Warden,Uni-Hospital,Emergency Entry Gate,CCTV System (Hikvision DS-2CD),"Emergency ambulance bay camera feed dropped, monitor showing no video signal",Outdoor Cat6 cable severed by landscaping trench digger near hospital garden curb,"Spliced armored Cat6 cable using waterproof gel-filled inline splice enclosure, verified PoE signal",2.5,1850,Armored Cat6 Splice Enclosure,Critical,Resolved
LPU-MAINT-2023-0046,2023-06-14,Student,BH-3,B-214,Split AC (Daikin 1.5T),AC outdoor unit tripping circuit breaker within 10 seconds of switching on,Compressor terminal pins burnt and wire harness insulation charred,Replaced compressor terminal wire kit and heat shrink insulation sleeves,2.5,1850,Compressor Wiring Kit,High,Resolved
LPU-MAINT-2023-0047,2023-06-18,Student,GH-1,A-110,Split AC (Daikin 1.5T),"AC indoor unit showing error code A5 on front panel, cooling stops randomly",Freeze-up protection thermistor triggered by low air volume through iced coil,"De-iced indoor coil, straightened bent cooling fins, replaced evaporator thermistor",2.5,2300,Evaporator Thermistor Sensor,High,Resolved
LPU-MAINT-2023-0048,2023-06-20,Faculty,Block-33,Faculty Cabin-33B,Split AC (Daikin 1.5T),AC is running but room is very humid and cooling is barely noticeable,Indoor cross-flow blower fan wheel covered with thick lint layer; air delivery reduced 50%,"Dismantled indoor casing, pressure-washed blower wheel and sanitized evaporator coil",2.0,1200,None,Medium,Resolved
LPU-MAINT-2023-0049,2023-06-22,Student,BH-5,E-510,Split AC (Voltas 1.5T),"AC throwing warm air, outdoor unit compressor is not starting at all",Burnt terminal wiring harness on hermetic compressor terminal block,"Crimped new high-temperature brass terminal lugs, replaced terminal seal protector",2.5,1450,High-Temp Terminal Wiring Kit,High,Resolved
LPU-MAINT-2023-0050,2023-06-25,Student,GH-4,B-208,Split AC (Blue Star 1.5T),Water leaking from indoor unit down the bedroom wall,Condensate drain pipe choked with dust and mildew plug,"Cleared drain line with high-pressure nitrogen blow-through, sanitized drain pan",1.5,750,None,High,Resolved
LPU-MAINT-2023-0051,2023-06-28,Student,BH-5,1st Floor Wing-A,Water Cooler (Voltas Minimagic),"No chilled water on 1st floor wing A, students facing big issue in afternoon heat",Hermetic reciprocating compressor mechanical lockup due to continuous high thermal stress,"Replaced sealed compressor unit, flushed capillary tube, nitrogen pressure tested, charged refrigerant",8.0,4200,Hermetic Compressor 1/3 HP,Critical,Resolved
LPU-MAINT-2023-0052,2023-07-14,Faculty,Block-25,Room-25-204,Projector (Epson EB-X51),Projector display showing yellow discoloration on right half of projection screen,Blue dichroic mirror optical coating degraded due to prolonged operating heat,"Replaced dichroic mirror optical block assembly, cleaned internal prism chamber",3.0,6400,Epson Optical Dichroic Block,Medium,Resolved
LPU-MAINT-2023-0053,2023-07-16,Lab_Technician,Uni-Hospital,Radiology Unit,UPS System (APC Smart-UPS 3000VA),CT console workstation UPS showing battery disconnected warning message,Corroded inline DC fuse holder and loose Anderson battery connector terminal due to acid vapor seepage,Replaced high-current Anderson battery cable harness and 60A inline DC cartridge fuse,1.5,3400,Anderson Battery Cable & 60A DC Fuse,High,Resolved
LPU-MAINT-2023-0054,2023-07-18,Student,BH-4,Lift-1 (Main),Otis Elevator (Gen2),"Lift doors closing very slowly, takes almost 30 seconds to close fully",Dirt and grease accumulated on door header track and guide hanger rollers worn down,"Cleaned door track with solvent, replaced pair of nylon door hanger rollers",2.5,4200,Nylon Door Hanger Rollers,Medium,Resolved
LPU-MAINT-2023-0055,2023-07-25,Faculty,Block-34,Room-34-101,Split AC (Daikin 1.5T),AC blinking green timer light and showing C4 error code in faculty room,Liquid pipe thermistor sensor resistance drifted to 85k ohm due to moisture ingress,Replaced liquid pipe temperature thermistor sensor and sealed wire entry grommet,2.0,2400,Pipe Thermistor Sensor,Medium,Resolved
LPU-MAINT-2023-0056,2023-08-09,Student,GH-1,C-312,Split AC (Blue Star 1.5T),"Water dripping continuously down the wall from AC unit, wall paint is peeling off",Severe biological buildup choking internal drain gutter and cracked drain nozzle elbow,"Replaced cracked plastic drain spud connector, chemically sanitized evaporator coil and drain trough",2.5,1400,Drain Connector Spud & Chemical Flush,High,Resolved
LPU-MAINT-2023-0057,2023-08-10,Warden,GH-4,Turnstile Entry Gate,Biometric Scanner (Mantra MFS100),Hostel gate biometric attendance device not communicating with server,Ethernet-to-USB active adapter converter burnt out by lightning surge,Replaced active USB network converter module and verified data polling,1.5,1350,Active USB Network Converter,High,Resolved
LPU-MAINT-2023-0058,2023-08-11,Faculty,Block-26,Room-26-302,Projector (BenQ MX550),Projector projecting dull image with vertical purple lines across screen,DMD chip (Digital Micromirror Device) mirror array pixel latch failure,Installed new Texas Instruments 0.55 inch XGA DMD chip and thermal silicone pad,3.5,9400,TI 0.55 inch XGA DMD Chip,High,Resolved
LPU-MAINT-2023-0059,2023-08-14,Warden,BH-2,Main Lobby Turnstile,Biometric Scanner (Mantra MFS100),Fingerprint device disconnected intermittently when touched,USB cable internal shielding frayed near molded strain relief boot,Replaced USB A-to-Micro cable with industrial braided shielded cable,1.0,450,Shielded USB Cable,Medium,Resolved
LPU-MAINT-2023-0060,2023-08-15,Student,BH-5,Lift-1 (East Wing),KONE Elevator (Model MonoSpace 500),"Lift fan and light turned off inside elevator car, pitch dark while moving",Traveling cable conductor wire broken for auxiliary 230V lighting supply circuit,"Re-routed car lighting circuit through spare core in traveling cable flex, replaced LED tube",3.0,3800,Car Traveling Cable Joint & LED Light,Medium,Resolved
LPU-MAINT-2023-0061,2023-08-20,Warden,BH-5,Mess-2,RO Water Purifier (Aquaguard Enhance),"Purifier buzzer sounding continuous beep, system not dispensing water",UV lamp failure in UV sterilization chamber detected by electronic ballast sensor,Replaced 11W Phillips UV lamp tube and electronic ballast choke module,1.5,1350,11W UV Tube & Electronic Ballast,High,Resolved
LPU-MAINT-2023-0062,2023-08-22,Student,GH-3,Lift-1 (Main),Otis Elevator (Gen2),Floor 4 call button light not working inside lift car,Defective LED backlight PCB element behind floor button assembly,Replaced COP illuminated push button module for 4th floor,1.5,2200,COP Push Button Module,Low,Resolved
LPU-MAINT-2023-0063,2023-08-25,Warden,GH-1,2nd Floor Corridor,RO Water Purifier (Kent Grand),RO water purifier tap is leaking water continuously onto the floor,Dispensing tap internal silicone shutoff disc torn from prolonged usage,Replaced food-grade dispensing push tap assembly and checked line pressure,1.0,550,Food-Grade Dispensing Tap,Medium,Resolved
LPU-MAINT-2023-0064,2023-08-28,Faculty,Block-32,Room-32-402,Projector (BenQ MX550),Projector powers down after 10 mins with warning lamp blinking fast,Exhaust fan tachometer failure leading to internal over-temperature lamp shutdown,Replaced 12V blower cooling fan and swapped aging lamp unit to prevent burn-through,3.0,7100,Cooling Blower Fan & Lamp Assembly,High,Resolved
LPU-MAINT-2023-0065,2023-08-30,Lab_Technician,Block-34,Lab-34-204,Network Switch (Cisco Catalyst 2960),"Cisco switch port 1 to 8 showing amber status LED, no data transmission",Power over Ethernet (PoE) controller chip failed due to lightning-induced ground potential rise,Replaced PoE controller daughtercard and connected chassis grounding strap to earth busbar,3.0,5400,Cisco PoE Controller Daughtercard,High,Resolved
LPU-MAINT-2023-0066,2023-09-02,Warden,BH-5,Lobby CCTV Console,CCTV System (Hikvision DS-2CD),Camera 4 covering BH-5 main lobby showing black screen with video loss icon,PoE switch port supplying camera 4 shut down due to shorted RJ45 patch connector,"Re-crimped CAT6 RJ45 connector, verified 48V PoE delivery, restored 1080p video stream",1.5,650,CAT6 Connectors & Boot,High,Resolved
LPU-MAINT-2023-0067,2023-09-08,Warden,Uni-Hospital,DG Yard,Generator (Cummins 82.5kVA),"Generator coolant temperature gauge reading 98C during load run, alarm sound sounding",Radiator matrix clogged with dirt/leaves and engine water pump belt slipping due to low tension,"Back-flushed radiator core, replaced engine V-belts, and refilled ethylene glycol coolant mixture (50/50)",4.0,9500,Cummins V-Belt Pair & Engine Coolant,High,Resolved
LPU-MAINT-2023-0068,2023-09-14,Student,GH-2,Lift-2 (North Wing),KONE Elevator (Model MonoSpace 500),Lift door is shuddering while closing and suddenly opening again repeatedly,Debris lodged in landing door sill groove triggering electronic door force limiter,"Cleaned door sill tracks, realigned eccentric guide shoes, and adjusted optical sensor sensitivity dip switches",2.0,2200,None,Medium,Resolved
LPU-MAINT-2023-0069,2023-09-15,Lab_Technician,Block-38,Lab-38-101,Lab Power Distribution Unit,Lab PDU 40A main breaker tripping whenever laser printers power on,Excessive inrush current causing sensitive B-curve breaker to trip prematurely,Replaced 40A B-curve MCB with 40A C-curve breaker designed for motor/inductive inrush,1.5,1850,Legrand 40A C-Curve MCB,High,Resolved
LPU-MAINT-2023-0070,2023-09-20,Student,BH-4,2nd Floor Wing-B,Water Cooler (Blue Star),"Water cooler tap not shutting off fully, slow trickle wasting water",Silicone sealing washer eroded by fine sand particles in water supply,Replaced tap inner rubber cartridge seal and flushed faucet body,1.0,450,Tap Rubber Cartridge Seal,Low,Resolved
LPU-MAINT-2023-0071,2023-09-28,Warden,GH-2,Main Lobby Corridor,CCTV System (Hikvision DS-2CD),Corridor camera feed flickering between color and black and white mode,Ambient light photodiode sensor faulty on camera front bezel,Replaced camera sensor bezel assembly and reset day/night switching threshold,1.5,1200,Photodiode Bezel Assembly,Low,Resolved
LPU-MAINT-2023-0072,2023-10-05,Warden,GH-4,Lift-1 (Main),Otis Elevator (Gen2),Lift making squeaking mechanical noise while traveling between 3rd and 4th floors,Car guide shoe sliding inserts worn down to metal backing plate,"Replaced set of polyurethane guide shoe gibs, lubricated guide rail oiler reservoirs",3.5,6200,Polyurethane Guide Shoe Gibs,High,Resolved
LPU-MAINT-2023-0073,2023-10-14,Warden,BH-1,Lift-1 (Main Lobby),KONE Elevator (Model MonoSpace 500),Lift emergency alarm button inside car not ringing buzzer in guard security room,Alarm push button contact oxidized and emergency intercom battery pack flat (0V),Replaced 12V 1.2Ah rechargeable emergency battery and cleaned COP alarm contacts,2.0,3200,12V 1.2Ah Battery & Switch,Critical,Resolved
LPU-MAINT-2023-0074,2023-10-18,Faculty,Block-25,Faculty Cabin-25A,Biometric Scanner (Suprema BioEntry W2),Biometric device rejecting faculty RFID punch and fingerprint reading takes 10 seconds,Internal optical sensor lens clouded with silicone oil separation film,"Cleaned optical sensor chamber, calibrated minutiae extraction threshold parameter",1.5,1200,None,Medium,Resolved
